Formato: num commit;fecha del commit;lineas UI;lineas APIG;lineas mSBD;lineas mSCE
187;2016-05-15;6080;3011;5969;607
189;2016-05-15;6079;3011;5969;607
191;2016-05-16;6079;3011;5969;868
194;2016-05-17;6080;3130;5969;876
197;2016-05-19;6271;3208;5969;1001
198;2016-05-24;6271;3227;6031;1030
207;2016-05-30;6271;3227;6031;1500
219;2016-06-05;6482;3252;7095;2180
220;2016-06-12;6375;3251;7095;1850
221;2016-06-14;6375;3251;7108;1945
222;2016-06-14;6375;3251;7108;2031
223;2016-06-15;6375;3251;7108;2416
224;2016-06-19;6375;3251;7108;2730
225;2016-06-23;6375;3374;7108;2734
226;2016-06-29;6375;3401;7108;2760
227;2016-07-02;6375;3401;6310;2758
228;2016-07-02;6375;3401;6729;2758
229;2016-07-04;6375;3401;6801;2757
230;2016-07-04;6375;3401;6815;2757
